mizo,english
"A tak tak pawh a ni lo ang,a lem tih ka sawi sa ngam","no way its real,i bet it is fake."
Hetiang tur a ni ngai lo.,It must never be like this.
Zep loh chuan i rimchhia.,"To be honest,you're stinks"
I rimchhe lutuk.,You are so smelly.
Mi rimchhe bulah ka awm peih vak lo a,I don't really like being around people who smell bad
Mit lawngin ni khi en loh tur,Do not look at the sun with your naked eye
Ni 5 dawn chhung chu ruah a la sur char char.,"For almost 5 days, the rain has been falling continuously."
"API tih chu Application Programming Interface tihna a ni. Hei hi instruction emaw programming instruction hrang hrang, application pahnih te inbe pawp a, data inthleng tawn theihtirtu a ni. API-te hian developer-te tan application dang emaw platform dangte chhawp chhuah data leh service-te access leh khawih danglam theihna kawng a siam a ni. Hemi te hi tunlai web development pêng pawimawh tak an ni a, developer-te chu modular component-te hmanga application leh website complex tak tak develop theihtirtu a ni.",API stands for Application Programming Interface. It is a set of instructions or programming instructions that allow two applications to communicate and exchange data with each other. APIs provide a way for developers to access and manipulate data and services offered by other applications or platforms. They are an essential part of modern web development and allow developers to develop complex applications and websites using modular components.
"Gym-ah phei ila, chutah chuan hla te kan sa ho anga ,kan ṭhian ṭhenkhatte pawh kan hmu thei ang, tiin ka rawt a ni.",I suggest a walk over to the gym where we can play singsong and meet some of our friends .
"Phur em emin ka ski (vur chungah ka tawlh) mawp mawp a, mahse thil pakhat ka hrechhuak ta thut a - ka ding thei miah lo tih hi! Ka hlauh dan tur zia chu i ngaihtuah thiam mai ang.",I was skiing on and on excitedly until I realized one thing-I could not stop ! You can just imagine how terrified I was .
"Zing lamah khua a ṭhat hmel viau nain, chawhnu lamah ruah nasa taka sur thei a nih thu sawi lawkna a awm avangin football inkhel chu sawn hlat kan rel ta a ni.","Although the weather looked clear in the morning, we decided to postpone the football match because the forecast warned that it might rain heavily by the afternoon."
"Zing lamah khua a thiang hmel viau nain, chawhnu lamah ruah nasa taka a sur theih thu khawchin thlirtu lamin an sawi lawk avangin football inkhelh chu sawn kan rel ta a.","Although the weather looked clear in the morning, we decided to postpone the football match because the forecast warned that it might rain heavily by the afternoon."
"Thla hmasa-a lehkhabu ka hawh tîr chu min rawn pe lêt leh tûr thu a tiam a, mahse chhungkaw intawhkhawmna atâna an inbuatsaih laiin a cousin-te inah a theihnghilh daih a ni.","She promised that she would return the book I lent her last month, but she forgot it at her cousin's house when they were preparing for the family reunion."
"Meeting sawn hlat a ni tih lo hria ila chuan, in atangin hma takah ka chhuak hauh lo ang, a bik takin chawlh a nih avangin kawngpuite pawh a ruak deuh vek bawk si.","If I had known that the meeting had been postponed, I wouldn't have left home so early, especially since the roads were almost empty because of the holiday."
"Nang awm lo ta la chuan engtin nge ka tih ang, mi pakhat phurh atan chuan he phurit hi a rit mah mah a, ka tap hial ang.","what would i do if you are not here, i probably cry because this is too much burden for one person"
"Nang awm lo ta la chuan engtin nge ka tih ang, mi pakhat phurh atan chuan he phurit hi a rit mah mah a, ka tap hial ang.","what would i do if you are not here, i probably cry because this is too much burden for one person"
"Hei hi a tawk ang em, a tihlim ang che em, i dil belh tawh lo vang em?","Will this be enough, will it make you happy, won't you ask for more?"
"Hetiang hi a ni tur a ni lo, engati nge kan inhnial hrim hrim... a naupanchhiat thlak lutuk","This is not how it should be,like why are we even arguing...this is so childish"
"Hetiang hi a ni tur a ni lo, engati nge kan inhnial hrim hrim... a naupanchhiat thlak lutuk","This is not how it should be,like why are we even arguing...this is so childish"
Chibai,hello
Chibai,hello
Light,Zang
